ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.564205465584,5951.627283636696,24079.66773027369
2014-02-28,5778.539467165996,-3718.598175586606,15299.896095056662
2014-03-31,41875.34394077568,32150.06676053621,50570.03248502736
2014-04-30,25662.72402646336,16461.123208298206,35079.57254040169
2014-05-31,25711.928215649285,16857.754128912566,34557.299269508854
2014-06-30,26711.73728006154,17424.087379019766,35803.16894353012
2014-07-31,26438.13390759504,17260.4511870803,35251.883296775406
2014-08-31,30856.59159919711,21281.667105657616,40445.45221055632
2014-09-30,67621.11814829762,57593.95626772772,76007.11591876499
2014-10-31,36077.38727274344,27516.0950799441,45560.41782311991
2014-11-30,78301.26791316917,69227.42746795014,87636.7234379842
2014-12-31,69991.58410039937,60837.896756394766,79447.22762724667
2015-01-31,18738.3411788177,9221.116253040716,28684.189106939193
2015-02-28,13880.715060737897,4953.336763092336,23352.103937888325
2015-03-31,49598.62624537485,39913.056474463694,58772.787229536196
2015-04-30,34576.01667018153,25081.761320746828,43642.674511835234
2015-05-31,26387.612896217848,16933.24603572039,36127.42228874769
2015-06-30,31085.92534625322,21370.86843066145,40587.533534891925
2015-07-31,33255.720418340774,24384.639469504367,43132.176467902194
2015-08-31,40664.294058482024,31216.066660704437,50257.49423738333
2015-09-30,76492.06827661174,66557.31191460871,86514.79777549185
2015-10-31,35984.17831327325,26919.406102650704,45589.11587282885
2015-11-30,86921.1169860122,77708.836871997,96740.31582553984
2015-12-31,75920.60614390152,66640.72081804334,85482.5070980136
2016-01-31,23165.283678697757,13820.19091286983,32521.602175750853
2016-02-29,14902.05513361903,5275.145387933871,24533.772142276583
2016-03-31,51723.80468187857,42670.821022571254,60837.677640859016
2016-04-30,33016.27789386858,23390.435120705977,42658.90578276243
2016-05-31,49868.21703758223,40399.510328177916,59115.88073340888
2016-06-30,44187.686790499,34972.77297555476,53818.403756608386
2016-07-31,39287.643319981136,29454.324978845976,48571.49742697753
2016-08-31,37700.29519537331,28338.32978007221,46485.011032876624
2016-09-30,75996.70555174866,66603.68559155182,85932.17492270468
2016-10-31,62955.82738162338,53684.69197950573,72053.82798625014
2016-11-30,88181.70952571036,78768.7074184082,96930.4071252801
2016-12-31,85608.11629129495,75714.54620767111,94769.04425583541
2017-01-31,38211.2361661565,28832.94626759517,47394.92876054233
2017-02-28,25246.6597427259,16273.282363756127,34062.473070295
2017-03-31,61845.9889312247,53278.770416753134,71100.13348278044
2017-04-30,44535.97356842825,35425.953777991825,53852.42866212683
2017-05-31,53069.81844880454,44026.38104762079,62333.75837964537
2017-06-30,50739.85279430854,41822.35347966937,59809.42852167892
2017-07-31,48243.150745548664,38468.66188434358,57576.74333176357
2017-08-31,49797.132431413826,41043.099036585896,59330.77941354299
2017-09-30,87518.63702188712,78689.71526253817,97078.97685840576
2017-10-31,65271.070685528124,55732.0482364128,75295.01047951388
2017-11-30,99056.32018750344,89886.72982634004,108486.01980721677
2017-12-31,93756.95158233144,84097.13778874547,103136.32698372415
2018-01-31,44491.08130273831,35520.55210696722,53355.25676330341
2018-02-28,35661.18974893002,26476.09275289263,44246.25764185309
2018-03-31,71959.64167843226,62575.48092089174,81704.45062540194
2018-04-30,55942.16446340553,46546.22745770125,65030.58761151453
2018-05-31,56193.01611169307,46772.112442382255,65570.82544942365
2018-06-30,57387.96787975487,47538.32140503392,66635.40600821907
2018-07-31,57316.011967743274,48169.75166277627,66231.47463354997
2018-08-31,61936.11712318731,52515.841632388314,70783.03834498615
2018-09-30,98895.78637577473,89384.35193937978,108589.28297336969
2018-10-31,67553.70296059531,57620.44580251439,76691.16928333548
2018-11-30,109972.72630310482,101109.08481164445,119106.24609358549
2018-12-31,101864.68994533221,93314.21224779019,111370.87280372584
